方形标签叠放实验， 拟合出错误顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0003 0000 0000 0000 0000#1624777725428527#-58.0#5.553010452146021#1
0000 0006 0000 0000 0000 0000#1624777725429598#-46.5#5.792311455056181#1
E200 001B 2014 0164 1580 8A56#1624777725430745#-65.0#5.332117218690489#1
0000 0002 0000 0000 0000 0000#1624777725431834#-49.0#5.080544369477243#1
E200 001B 2014 0195 1580 B13D#1624777725432914#-63.5#5.252350217720435#1
E200 001B 2014 0200 1580 ACEC#1624777725434027#-64.5#4.890330751779424#1
0000 0007 0000 0000 0000 0000#1624777725435599#-40.0#4.025165587411922#1
0000 0001 0000 0000 0000 0000#1624777725438123#-52.5#5.620505606812989#1
0000 0002 0000 0000 0000 0000#1624777725703955#-50.0#5.485515297479052#1
0000 0006 0000 0000 0000 0000#1624777725705209#-48.0#0.1718058482431918#1
E200 001B 2014 0195 1580 B13D#1624777725706290#-65.5#5.583690067903734#1
4155 4F30 3030 3030 3131 3430#1624777725707358#-61.0#6.013204688511713#1
0000 0005 0000 0000 0000 0000#1624777725708426#-51.0#1.6689710972195777#1
0000 0007 0000 0000 0000 0000#1624777725711703#-39.5#4.491495746929157#1
0000 0004 0000 0000 0000 0000#1624777725712791#-57.0#1.423534171157875#1
0000 0001 0000 0000 0000 0000#1624777725714075#-52.5#6.12365130523948#1
0000 0003 0000 0000 0000 0000#1624777725717060#-61.0#6.007068765360171#1
E200 001B 2014 0200 1580 ACEC#1624777725718248#-65.5#5.00077736850719#1
E200 001B 2014 0164 1580 8A56#1624777725719855#-64.5#5.626641529964532#1
0000 0002 0000 0000 0000 0000#1624777725723922#-50.0#5.5100589900852235#1
0000 0004 0000 0000 0000 0000#1624777725725249#-57.5#1.3621749396424494#1
0000 0001 0000 0000 0000 0000#1624777725726788#-53.0#6.135923151542564#1
4155 4F30 3030 3030 3131 3430#1624777725730206#-61.0#6.062292073724054#1
E200 001B 2014 0164 1580 8A56#1624777725731371#-64.5#5.737088146692298#1
E200 001B 2014 0195 1580 B13D#1624777725732508#-64.0#5.583690067903734#1
0000 0005 0000 0000 0000 0000#1624777725734116#-51.0#1.6689710972195777#1
0000 0006 0000 0000 0000 0000#1624777725736423#-48.0#0.18407769454627693#1
0000 0007 0000 0000 0000 0000#1624777725737477#-39.5#4.4976316700806995#1
0000 0003 0000 0000 0000 0000#1624777725739826#-60.5#0.02454369260617026#1
E200 001B 2014 0200 1580 ACEC#1624777725741824#-65.0#5.154175447295755#1
0000 0001 0000 0000 0000 0000#1624777726004845#-52.0#5.902758071783947#1
E200 001B 2014 0164 1580 8A56#1624777726005958#-66.5#5.448699758569798#1
0000 0003 0000 0000 0000 0000#1624777726007881#-57.5#5.829126993965437#1
0000 0004 0000 0000 0000 0000#1624777726008955#-55.5#1.1351457830353744#1
0000 0006 0000 0000 0000 0000#1624777726010464#-46.0#5.970253226450915#1
0000 0007 0000 0000 0000 0000#1624777726012779#-39.5#4.135612204139688#1
0000 0005 0000 0000 0000 0000#1624777726016297#-50.5#1.3192234775816514#1
0000 0002 0000 0000 0000 0000#1624777726017370#-49.5#5.301437602932776#1
E200 001B 2014 0200 1580 ACEC#1624777726032344#-67.0#4.614214209960009#1
E200 001B 2014 0164 1580 8A56#1624777726037164#-66.5#4.81056375080937#1
0000 0005 0000 0000 0000 0000#1624777726038348#-50.0#0.9694758579437253#1
0000 0006 0000 0000 0000 0000#1624777726039444#-46.0#5.5714182216006485#1
