方形标签叠放实验， 拟合出正确顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0006 0000 0000 0000 0000#1624774540586172#-48.5#5.4671075280244255#1
9999 33B2 DDD9 0140 0000 0000#1624774540587516#-62.5#1.8837284075235674#1
0000 0005 0000 0000 0000 0000#1624774540590181#-47.5#1.6382914814618648#1
0000 0003 0000 0000 0000 0000#1624774540591851#-50.5#5.712544454086128#1
0000 0001 0000 0000 0000 0000#1624774540593210#-70.0#4.184699589352029#1
0000 0007 0000 0000 0000 0000#1624774540594279#-40.0#1.7548740213411735#1
E200 001B 2014 0164 1580 8A56#1624774540595705#-69.5#4.3074180523828804#1
0000 0003 0000 0000 0000 0000#1624774540599858#-50.5#5.749359992995383#1
0000 0001 0000 0000 0000 0000#1624774540601799#-69.0#4.3933209765044765#1
0000 0007 0000 0000 0000 0000#1624774540602871#-40.0#1.7732817907958012#1
0000 0006 0000 0000 0000 0000#1624774540603939#-48.5#5.491651220630596#1
0000 0004 0000 0000 0000 0000#1624774540604978#-43.5#0.15339807878856412#1
0000 0002 0000 0000 0000 0000#1624774540606823#-57.5#4.608078286808466#1
9999 33B2 DDD9 0140 0000 0000#1624774540608152#-62.0#1.9205439464328227#1
0000 0005 0000 0000 0000 0000#1624774540609761#-47.5#1.705786636128833#1
E200 001B 2014 0164 1580 8A56#1624774540612661#-69.0#4.473087977474529#1
0000 0003 0000 0000 0000 0000#1624774540876106#-50.5#0.8528933180644165#1
0000 0005 0000 0000 0000 0000#1624774540878558#-47.5#2.9636508821950587#1
0000 0002 0000 0000 0000 0000#1624774540880246#-56.0#5.945709533844745#1
3008 33B2 DDD9 0140 2018 0626#1624774540881551#-57.5#1.1167380135807468#1
0000 0007 0000 0000 0000 0000#1624774540882593#-39.0#2.60776733940559#1
0000 0006 0000 0000 0000 0000#1624774540884413#-46.0#0.7301748550335652#1
3008 33B2 DDD9 0140 2018 0626#1624774540885601#-57.0#0.30066023442558565#1
9999 33B2 DDD9 0140 0000 0000#1624774540886960#-61.5#3.2765829629237295#1
0000 0004 0000 0000 0000 0000#1624774540888015#-43.0#1.4542137869155878#1
E200 001B 2014 0164 1580 8A56#1624774540889239#-69.5#5.632777453116074#1
0000 0001 0000 0000 0000 0000#1624774540890338#-67.5#5.608233760509904#1
0000 0004 0000 0000 0000 0000#1624774540893661#-43.0#1.4726215563702154#1
9999 33B2 DDD9 0140 0000 0000#1624774540894949#-61.5#3.2336315008629315#1
0000 0002 0000 0000 0000 0000#1624774540896009#-56.0#5.939573610693203#1
0000 0001 0000 0000 0000 0000#1624774540898021#-67.5#5.418020142812084#1
0000 0006 0000 0000 0000 0000#1624774540900606#-46.0#0.7485826244881929#1
0000 0005 0000 0000 0000 0000#1624774540902430#-47.0#2.9575149590435164#1
0000 0007 0000 0000 0000 0000#1624774540904014#-39.0#2.6016314162540475#1
0000 0003 0000 0000 0000 0000#1624774540905100#-50.5#0.8897088569736719#1
3008 33B2 DDD9 0140 2018 0626#1624774540910277#-56.5#0.30679615757712825#1
3008 33B2 DDD9 0140 2018 0626#1624774540912341#-57.5#1.0369710126106935#1
E200 001B 2014 0164 1580 8A56#1624774540913425#-70.0#5.786175531904639#1
0000 0002 0000 0000 0000 0000#1624774541176367#-54.5#5.841398840268521#1
0000 0003 0000 0000 0000 0000#1624774541178537#-49.0#0.5890486225480862#1
0000 0006 0000 0000 0000 0000#1624774541180459#-46.5#6.22182607566416#1
