长条形标签叠放实验， 拟合出正确顺序
peed   : 2
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0013 2000 0000 0000 0000#1624798115135641#-52.0#5.448699758569798#1
0000 0014 2000 0000 0000 0000#1624798115137778#-51.5#5.123495831538041#1
0000 000F 2000 0000 0000 0000#1624798115139334#-53.0#0.1043106935762236#1
0000 0010 2000 0000 0000 0000#1624798115140375#-56.5#5.086680292628786#1
0000 0011 2000 0000 0000 0000#1624798115143418#-59.5#2.84706834231575#1
0000 0012 2000 0000 0000 0000#1624798115144462#-59.0#0.42337869745643697#1
3008 33B2 DDD9 0140 2018 0626#1624798115145575#-56.5#5.786175531904639#1
E200 001B 2014 0201 1580 B140#1624798115147079#-63.0#4.7860200582032#1
0000 000F 2000 0000 0000 0000#1624798115151183#-53.0#0.11044661672776616#1
E200 001B 2014 0201 1580 B140#1624798115152288#-62.5#4.73693267299086#1
0000 0015 2000 0000 0000 0000#1624798115153606#-62.5#4.534447208989955#1
0000 0010 2000 0000 0000 0000#1624798115154636#-56.0#5.117359908386499#1
0000 0014 2000 0000 0000 0000#1624798115156426#-51.5#5.135767677841127#1
3008 33B2 DDD9 0140 2018 0626#1624798115160108#-56.5#5.7616318392984684#1
0000 0013 2000 0000 0000 0000#1624798115161471#-52.0#5.424156065963627#1
0000 0012 2000 0000 0000 0000#1624798115163376#-59.0#0.4295146206079795#1
0000 0011 2000 0000 0000 0000#1624798115164449#-61.5#2.8286605728611223#1
3008 33B2 DDD9 0140 2018 0626#1624798115431061#-56.5#5.3198453723874035#1
0000 0010 2000 0000 0000 0000#1624798115432758#-56.0#4.828971520263998#1
0000 0012 2000 0000 0000 0000#1624798115433790#-60.0#0.1227184630308513#1
0000 0013 2000 0000 0000 0000#1624798115434885#-52.0#5.098952138931871#1
E200 001B 2014 0201 1580 B140#1624798115435992#-62.5#4.448544284868359#1
0000 0014 2000 0000 0000 0000#1624798115437525#-52.0#4.8351074434155406#1
0000 000F 2000 0000 0000 0000#1624798115439084#-52.5#6.092971689481767#1
0000 0015 2000 0000 0000 0000#1624798115440150#-63.0#4.289010282928253#1
0000 0011 2000 0000 0000 0000#1624798115441960#-62.0#2.6813984172241008#1
3008 33B2 DDD9 0140 2018 0626#1624798115447785#-56.0#5.258486140871978#1
0000 000F 2000 0000 0000 0000#1624798115448889#-53.0#6.068427996875596#1
E200 001B 2014 0201 1580 B140#1624798115451322#-63.0#4.460816131171445#1
0000 0013 2000 0000 0000 0000#1624798115452641#-51.5#5.098952138931871#1
0000 0011 2000 0000 0000 0000#1624798115453716#-62.0#2.6200391857086753#1
0000 0012 2000 0000 0000 0000#1624798115454960#-60.0#0.09203884727313846#1
0000 0015 2000 0000 0000 0000#1624798115456780#-63.0#4.221515128261284#1
0000 0010 2000 0000 0000 0000#1624798115458575#-56.5#4.853515212870168#1
0000 0014 2000 0000 0000 0000#1624798115459673#-51.5#4.841243366567084#1
0000 0012 2000 0000 0000 0000#1624798115724199#-59.0#0.5399612373357456#1
3008 33B2 DDD9 0140 2018 0626#1624798115725303#-56.0#5.442563835418255#1
E200 001B 2014 0201 1580 B140#1624798115726378#-62.5#5.111223985234957#1
3008 33B2 DDD9 0140 2018 0626#1624798115727490#-54.5#6.160466844148735#1
0000 000F 2000 0000 0000 0000#1624798115728535#-52.5#0.28838838812250056#1
0000 0013 2000 0000 0000 0000#1624798115739084#-51.0#5.2768939103266055#1
0000 0011 2000 0000 0000 0000#1624798115741511#-60.0#2.730485802436441#1
0000 0010 2000 0000 0000 0000#1624798115743179#-56.0#4.963961829597935#1
0000 0015 2000 0000 0000 0000#1624798115744215#-62.5#4.331961744989051#1
0000 0014 2000 0000 0000 0000#1624798115746219#-51.0#5.006913291658733#1
0000 0015 2000 0000 0000 0000#1624798115751130#-62.5#4.3933209765044765#1
0000 0012 2000 0000 0000 0000#1624798115753002#-59.5#0.32520392703175593#1
0000 0011 2000 0000 0000 0000#1624798115754129#-59.5#2.742757648739526#1
0000 0013 2000 0000 0000 0000#1624798115755651#-51.5#5.264622064023521#1
3008 33B2 DDD9 0140 2018 0626#1624798115757053#-56.5#4.95168998329485#1
3008 33B2 DDD9 0140 2018 0626#1624798115758137#-55.0#5.66959299202533#1
0000 0010 2000 0000 0000 0000#1624798115759637#-56.5#4.9394181369917645#1
0000 0014 2000 0000 0000 0000#1624798115761184#-51.0#4.994641445355648#1
E200 001B 2014 0201 1580 B140#1624798115762861#-63.5#4.632621979414636#1
0000 000F 2000 0000 0000 0000#1624798115764364#-53.0#6.264777537724958#1
0000 0014 2000 0000 0000 0000#1624798116028931#-52.0#4.767612288748572#1
0000 0011 2000 0000 0000 0000#1624798116029989#-63.0#2.6016314162540475#1
0000 0010 2000 0000 0000 0000#1624798116032598#-57.0#4.902602598082509#1
3008 33B2 DDD9 0140 2018 0626#1624798116034409#-55.5#5.098952138931871#1
0000 0015 2000 0000 0000 0000#1624798116035387#-63.0#4.362641360746763#1
0000 0013 2000 0000 0000 0000#1624798116036439#-52.0#5.013049214810275#1
0000 000F 2000 0000 0000 0000#1624798116037469#-53.0#6.178874613603362#1
E200 001B 2014 0201 1580 B140#1624798116038606#-63.5#4.104932588381976#1
0000 0012 2000 0000 0000 0000#1624798116040164#-60.5#6.2034183062095325#1
0000 0015 2000 0000 0000 0000#1624798116048450#-63.0#4.325825821837508#1
0000 0010 2000 0000 0000 0000#1624798116049591#-56.0#4.822835597112456#1
0000 0013 2000 0000 0000 0000#1624798116050658#-51.5#4.994641445355648#1
0000 0011 2000 0000 0000 0000#1624798116051760#-62.5#2.5464081078901644#1
0000 0014 2000 0000 0000 0000#1624798116054107#-52.0#4.773748211900116#1
0000 000F 2000 0000 0000 0000#1624798116056376#-53.5#6.209554229361076#1
0000 0012 2000 0000 0000 0000#1624798116058179#-60.0#6.191146459906448#1
3008 33B2 DDD9 0140 2018 0626#1624798116062227#-56.0#5.135767677841127#1
0000 0014 2000 0000 0000 0000#1624798116328219#-51.0#5.546874528994478#1
3008 33B2 DDD9 0140 2018 0626#1624798116329673#-55.5#6.270913460876501#1
0000 0013 2000 0000 0000 0000#1624798116339414#-52.0#5.497787143782138#1
0000 0012 2000 0000 0000 0000#1624798116341033#-58.5#0.46019423636569234#1
0000 000F 2000 0000 0000 0000#1624798116342324#-53.5#0.25770877236478773#1
3008 33B2 DDD9 0140 2018 0626#1624798116343698#-57.5#5.246214294568893#1
