长条形标签叠放实验， 拟合出正确顺序
speed   : 2.5
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
3008 33B2 DDD9 0140 2018 0626#1624798411094858#-57.5#3.1968159619536762#1
E200 001B 2014 0164 1580 8A56#1624798411095913#-65.0#5.602097837358362#1
0000 0010 2000 0000 0000 0000#1624798411096984#-52.0#3.7122335066832517#1
0000 0014 2000 0000 0000 0000#1624798411098036#-45.5#4.178563666200486#1
0000 0011 2000 0000 0000 0000#1624798411100020#-57.5#1.8653206380689396#1
0000 0013 2000 0000 0000 0000#1624798411101327#-50.0#4.571262747899211#1
0000 000F 2000 0000 0000 0000#1624798411104807#-49.0#4.816699673960914#1
0000 0012 2000 0000 0000 0000#1624798411107193#-56.0#5.798447378207723#1
E200 001B 2014 0201 1580 B140#1624798411109124#-62.5#1.932815792735908#1
0000 0015 2000 0000 0000 0000#1624798411111255#-57.0#3.761320891895592#1
0000 0011 2000 0000 0000 0000#1624798411376835#-57.5#2.2334760271614935#1
0000 0010 2000 0000 0000 0000#1624798411378260#-50.5#4.178563666200486#1
0000 000F 2000 0000 0000 0000#1624798411380406#-48.5#5.264622064023521#1
0000 0015 2000 0000 0000 0000#1624798411381454#-55.5#4.252194744018997#1
3008 33B2 DDD9 0140 2018 0626#1624798411383041#-56.5#3.9147189706841563#1
0000 0012 2000 0000 0000 0000#1624798411398927#-56.0#5.939573610693203#1
E200 001B 2014 0201 1580 B140#1624798411400504#-64.0#2.2212041808584084#1
0000 0013 2000 0000 0000 0000#1624798411402108#-50.0#4.718524903536232#1
0000 0014 2000 0000 0000 0000#1624798411403146#-45.5#4.331961744989051#1
E200 001B 2014 0164 1580 8A56#1624798411404459#-64.0#5.602097837358362#1
0000 0013 2000 0000 0000 0000#1624798411408811#-50.0#4.706253057233147#1
0000 0011 2000 0000 0000 0000#1624798411410097#-57.0#2.018718716857504#1
3008 33B2 DDD9 0140 2018 0626#1624798411412182#-56.5#3.423845118560751#1
0000 000F 2000 0000 0000 0000#1624798411413985#-48.5#4.970097752749477#1
0000 0012 2000 0000 0000 0000#1624798411415301#-56.0#5.921165841238575#1
E200 001B 2014 0201 1580 B140#1624798411416875#-64.5#2.2150682577068657#1
0000 0010 2000 0000 0000 0000#1624798411417919#-52.5#3.902447124381071#1
0000 0014 2000 0000 0000 0000#1624798411420211#-45.5#4.319689898685965#1
0000 0015 2000 0000 0000 0000#1624798411424990#-57.0#3.9085830475326135#1
E200 001B 2014 0164 1580 8A56#1624798411427839#-65.0#5.706408530934585#1
0000 000F 2000 0000 0000 0000#1624798411690099#-49.0#4.675573441475434#1
0000 0010 2000 0000 0000 0000#1624798411691398#-52.0#3.5895150436524004#1
0000 0014 2000 0000 0000 0000#1624798411692466#-46.0#4.037437433715008#1
3008 33B2 DDD9 0140 2018 0626#1624798411693571#-57.5#3.031146036862027#1
E200 001B 2014 0164 1580 8A56#1624798411697657#-63.0#5.2339424482658075#1
0000 0015 2000 0000 0000 0000#1624798411698764#-57.0#3.522019888985432#1
0000 0012 2000 0000 0000 0000#1624798411700628#-56.5#5.663457068873787#1
E200 001B 2014 0201 1580 B140#1624798411701988#-63.5#1.7732817907958012#1
0000 0013 2000 0000 0000 0000#1624798411704050#-50.0#4.4362724385652745#1
0000 0011 2000 0000 0000 0000#1624798411705464#-56.0#1.7671458676442586#1
3008 33B2 DDD9 0140 2018 0626#1624798411715770#-58.0#3.06182565261974#1
0000 000F 2000 0000 0000 0000#1624798411717584#-49.0#4.663301595172349#1
0000 0010 2000 0000 0000 0000#1624798411719215#-52.0#3.6201946594101133#1
0000 0015 2000 0000 0000 0000#1624798411720759#-57.0#3.5465635815916023#1
0000 0014 2000 0000 0000 0000#1624798411722057#-46.0#4.0128937411088375#1
E200 001B 2014 0201 1580 B140#1624798411723176#-63.5#1.761009944492716#1
0000 0011 2000 0000 0000 0000#1624798411724448#-57.5#1.7671458676442586#1
E200 001B 2014 0164 1580 8A56#1624798411725574#-63.5#5.264622064023521#1
0000 0012 2000 0000 0000 0000#1624798411726919#-56.5#5.675728915176872#1
0000 0013 2000 0000 0000 0000#1624798411727942#-50.0#4.3933209765044765#1
0000 0013 2000 0000 0000 0000#1624798411992552#-49.0#5.1725832167503825#1
3008 33B2 DDD9 0140 2018 0626#1624798411993641#-55.5#4.123340357836604#1
0000 0011 2000 0000 0000 0000#1624798411996747#-57.5#2.380738182798515#1
0000 000F 2000 0000 0000 0000#1624798411998098#-49.0#5.473243451175968#1
0000 0014 2000 0000 0000 0000#1624798411999195#-44.5#4.804427827657828#1
0000 0015 2000 0000 0000 0000#1624798412007969#-56.5#4.04357335686655#1
0000 0012 2000 0000 0000 0000#1624798412009257#-56.0#6.105243535784852#1
0000 0010 2000 0000 0000 0000#1624798412011885#-50.5#4.06811704947272#1
E200 001B 2014 0164 1580 8A56#1624798412013708#-64.5#5.822991070813893#1
E200 001B 2014 0201 1580 B140#1624798412014814#-64.5#2.442097414313941#1
0000 0015 2000 0000 0000 0000#1624798412028489#-56.5#4.1172044346850605#1
0000 0013 2000 0000 0000 0000#1624798412029809#-49.5#4.871922982324796#1
0000 0014 2000 0000 0000 0000#1624798412031147#-45.0#4.485359823777615#1
0000 0012 2000 0000 0000 0000#1624798412034291#-56.0#6.0991076126333095#1
E200 001B 2014 0201 1580 B140#1624798412035655#-64.5#2.3316507975861747#1
0000 0010 2000 0000 0000 0000#1624798412037847#-50.5#4.061981126321178#1
E200 001B 2014 0164 1580 8A56#1624798412039372#-64.5#5.884350302329319#1
0000 000F 2000 0000 0000 0000#1624798412040704#-48.5#5.135767677841127#1
3008 33B2 DDD9 0140 2018 0626#1624798412043305#-56.5#3.749049045592507#1
0000 0011 2000 0000 0000 0000#1624798412044431#-56.5#2.116893487282185#1
0000 0013 2000 0000 0000 0000#1624798412305430#-50.0#4.583534594202296#1
0000 000F 2000 0000 0000 0000#1624798412306494#-48.5#4.841243366567084#1
0000 0011 2000 0000 0000 0000#1624798412308053#-57.0#1.9144080232812801#1
0000 0014 2000 0000 0000 0000#1624798412310841#-45.5#4.184699589352029#1
E200 001B 2014 0201 1580 B140#1624798412313512#-63.0#1.9819031779482483#1
0000 0015 2000 0000 0000 0000#1624798412315715#-57.0#3.767456815047135#1
3008 33B2 DDD9 0140 2018 0626#1624798412316778#-58.0#3.1968159619536762#1
0000 0012 2000 0000 0000 0000#1624798412317794#-56.0#5.798447378207723#1
0000 0010 2000 0000 0000 0000#1624798412318822#-52.0#3.730641276137879#1
0000 0012 2000 0000 0000 0000#1624798412328260#-56.0#5.816855147662351#1
0000 0013 2000 0000 0000 0000#1624798412330139#-50.5#4.583534594202296#1
0000 000F 2000 0000 0000 0000#1624798412331127#-48.5#4.816699673960914#1
0000 0014 2000 0000 0000 0000#1624798412332711#-45.5#4.2031073588066565#1
0000 0010 2000 0000 0000 0000#1624798412333727#-52.0#3.730641276137879#1
0000 0011 2000 0000 0000 0000#1624798412335042#-57.5#1.859184714917397#1
3008 33B2 DDD9 0140 2018 0626#1624798412336344#-57.5#3.1906800388021335#1
0000 0015 2000 0000 0000 0000#1624798412338118#-57.0#3.7429131224409646#1
E200 001B 2014 0201 1580 B140#1624798412340679#-63.5#1.9696313316451632#1
0000 0014 2000 0000 0000 0000#1624798412604025#-45.0#4.657165672020807#1
E200 001B 2014 0164 1580 8A56#1624798412605406#-66.0#6.086835766330224#1
0000 0013 2000 0000 0000 0000#1624798412608045#-49.0#5.013049214810275#1
0000 0015 2000 0000 0000 0000#1624798412611689#-56.0#4.221515128261284#1
3008 33B2 DDD9 0140 2018 0626#1624798412620661#-56.5#3.429981041712294#1
0000 0012 2000 0000 0000 0000#1624798412621689#-56.0#5.927301764390117#1
0000 000F 2000 0000 0000 0000#1624798412623647#-48.5#4.988505522204105#1
0000 0011 2000 0000 0000 0000#1624798412624949#-57.5#1.9819031779482483#1
0000 0010 2000 0000 0000 0000#1624798412627035#-51.0#3.902447124381071#1
0000 0015 2000 0000 0000 0000#1624798412638223#-56.5#3.8840393549264434#1
0000 0013 2000 0000 0000 0000#1624798412639218#-50.5#4.718524903536232#1
0000 0010 2000 0000 0000 0000#1624798412640276#-52.5#3.9269908169872414#1
E200 001B 2014 0164 1580 8A56#1624798412643011#-64.0#5.675728915176872#1
0000 0012 2000 0000 0000 0000#1624798412644595#-56.0#5.896622148632405#1
0000 0014 2000 0000 0000 0000#1624798412646188#-45.0#4.319689898685965#1
